[Imports]
nth vaddr      bind type lib          name                                   
40  0x100e5334 NONE FUNC USER32.dll   DialogBoxIndirectParamA
41  0x100e5338 NONE FUNC USER32.dll   EnumDisplaySettingsA
42  0x100e533c NONE FUNC USER32.dll   CallNextHookEx
43  0x100e5340 NONE FUNC USER32.dll   SendMessageA
44  0x100e5344 NONE FUNC USER32.dll   GetIconInfo
45  0x100e5348 NONE FUNC USER32.dll   GetDC
46  0x100e534c NONE FUNC USER32.dll   ReleaseDC
47  0x100e5350 NONE FUNC USER32.dll   OffsetRect
48  0x100e5354 NONE FUNC USER32.dll   IntersectRect
49  0x100e5358 NONE FUNC USER32.dll   IsIconic
50  0x100e535c NONE FUNC USER32.dll   GetWindowPlacement
51  0x100e5360 NONE FUNC USER32.dll   GetWindowRect
52  0x100e5364 NONE FUNC USER32.dll   MessageBoxA
53  0x100e5368 NONE FUNC USER32.dll   wsprintfA
54  0x100e536c NONE FUNC USER32.dll   GetAsyncKeyState
55  0x100e5370 NONE FUNC USER32.dll   GetClientRect
56  0x100e5374 NONE FUNC USER32.dll   DestroyWindow
57  0x100e5378 NONE FUNC USER32.dll   ShowWindow
58  0x100e537c NONE FUNC USER32.dll   ShowCursor
59  0x100e5380 NONE FUNC USER32.dll   SetCursor
60  0x100e5384 NONE FUNC USER32.dll   LoadCursorA
61  0x100e5388 NONE FUNC USER32.dll   SetFocus
62  0x100e538c NONE FUNC USER32.dll   SetForegroundWindow
63  0x100e5390 NONE FUNC USER32.dll   EndDialog
64  0x100e5394 NONE FUNC USER32.dll   SetDlgItemTextA
65  0x100e5398 NONE FUNC USER32.dll   EnableWindow
66  0x100e539c NONE FUNC USER32.dll   GetDlgItem
67  0x100e53a0 NONE FUNC USER32.dll   DialogBoxParamA
68  0x100e53a4 NONE FUNC USER32.dll   SetMenu
69  0x100e53a8 NONE FUNC USER32.dll   GetDesktopWindow
70  0x100e53ac NONE FUNC USER32.dll   CallWindowProcA
71  0x100e53b0 NONE FUNC USER32.dll   SetWindowLongA
72  0x100e53b4 NONE FUNC USER32.dll   GetWindowLongA
73  0x100e53b8 NONE FUNC USER32.dll   IsWindowUnicode
74  0x100e53bc NONE FUNC USER32.dll   SetWindowTextA
75  0x100e53c0 NONE FUNC USER32.dll   SetClassLongA
76  0x100e53c4 NONE FUNC USER32.dll   GetClassLongA
77  0x100e53c8 NONE FUNC USER32.dll   GetForegroundWindow
78  0x100e53cc NONE FUNC USER32.dll   SystemParametersInfoA
79  0x100e53d0 NONE FUNC USER32.dll   PtInRect
80  0x100e53d4 NONE FUNC USER32.dll   GetCursorPos
81  0x100e53d8 NONE FUNC USER32.dll   SetCursorPos
82  0x100e53dc NONE FUNC USER32.dll   ClientToScreen
83  0x100e53e0 NONE FUNC USER32.dll   IsWindowVisible
84  0x100e53e4 NONE FUNC USER32.dll   GetSystemMetrics
85  0x100e53e8 NONE FUNC USER32.dll   SetCapture
86  0x100e53ec NONE FUNC USER32.dll   ClipCursor
87  0x100e53f0 NONE FUNC USER32.dll   ReleaseCapture
88  0x100e53f4 NONE FUNC USER32.dll   ScreenToClient
17  0x100e505c NONE FUNC COMCTL32.dll InitCommonControls
1   0x100e5000 NONE FUNC ADVAPI32.dll RegSetValueExA
2   0x100e5004 NONE FUNC ADVAPI32.dll RegOpenKeyExA
3   0x100e5008 NONE FUNC ADVAPI32.dll RegQueryValueExA
4   0x100e500c NONE FUNC ADVAPI32.dll RegCloseKey
1   0x100e5090 NONE FUNC KERNEL32.dll WriteFile
2   0x100e5094 NONE FUNC KERNEL32.dll VirtualQuery
3   0x100e5098 NONE FUNC KERNEL32.dll InterlockedExchange
4   0x100e509c NONE FUNC KERNEL32.dll IsBadWritePtr
5   0x100e50a0 NONE FUNC KERNEL32.dll HeapCreate
6   0x100e50a4 NONE FUNC KERNEL32.dll HeapDestroy
7   0x100e50a8 NONE FUNC KERNEL32.dll FatalAppExitA
8   0x100e50ac NONE FUNC KERNEL32.dll TlsGetValue
9   0x100e50b0 NONE FUNC KERNEL32.dll TlsSetValue
10  0x100e50b4 NONE FUNC KERNEL32.dll TlsFree
11  0x100e50b8 NONE FUNC KERNEL32.dll GetCurrentThread
12  0x100e50bc NONE FUNC KERNEL32.dll TlsAlloc
13  0x100e50c0 NONE FUNC KERNEL32.dll GetDriveTypeA
14  0x100e50c4 NONE FUNC KERNEL32.dll GetSystemTimeAsFileTime
15  0x100e50c8 NONE FUNC KERNEL32.dll GetDateFormatA
16  0x100e50cc NONE FUNC KERNEL32.dll GetTimeFormatA
17  0x100e50d0 NONE FUNC KERNEL32.dll GetCurrentThreadId
18  0x100e50d4 NONE FUNC KERNEL32.dll FileTimeToLocalFileTime
19  0x100e50d8 NONE FUNC KERNEL32.dll FileTimeToSystemTime
20  0x100e50dc NONE FUNC KERNEL32.dll CreateThread
21  0x100e50e0 NONE FUNC KERNEL32.dll ResumeThread
22  0x100e50e4 NONE FUNC KERNEL32.dll TerminateProcess
23  0x100e50e8 NONE FUNC KERNEL32.dll RaiseException
24  0x100e50ec NONE FUNC KERNEL32.dll HeapReAlloc
25  0x100e50f0 NONE FUNC KERNEL32.dll RtlUnwind
26  0x100e50f4 NONE FUNC KERNEL32.dll FreeEnvironmentStringsA
27  0x100e50f8 NONE FUNC KERNEL32.dll GetEnvironmentStrings
28  0x100e50fc NONE FUNC KERNEL32.dll FreeEnvironmentStringsW
29  0x100e5100 NONE FUNC KERNEL32.dll GetEnvironmentStringsW
30  0x100e5104 NONE FUNC KERNEL32.dll IsBadCodePtr
31  0x100e5108 NONE FUNC KERNEL32.dll GetACP
32  0x100e510c NONE FUNC KERNEL32.dll GetOEMCP
33  0x100e5110 NONE FUNC KERNEL32.dll GetCPInfo
34  0x100e5114 NONE FUNC KERNEL32.dll GetStringTypeA
35  0x100e5118 NONE FUNC KERNEL32.dll GetStringTypeW
36  0x100e511c NONE FUNC KERNEL32.dll GetUserDefaultLCID
37  0x100e5120 NONE FUNC KERNEL32.dll GetLocaleInfoA
38  0x100e5124 NONE FUNC KERNEL32.dll EnumSystemLocalesA
39  0x100e5128 NONE FUNC KERNEL32.dll IsValidLocale
40  0x100e512c NONE FUNC KERNEL32.dll IsValidCodePage
41  0x100e5130 NONE FUNC KERNEL32.dll SetStdHandle
42  0x100e5134 NONE FUNC KERNEL32.dll FlushFileBuffers
43  0x100e5138 NONE FUNC KERNEL32.dll CreateFileA
44  0x100e513c NONE FUNC KERNEL32.dll ReadFile
45  0x100e5140 NONE FUNC KERNEL32.dll SetHandleCount
46  0x100e5144 NONE FUNC KERNEL32.dll GetStdHandle
47  0x100e5148 NONE FUNC KERNEL32.dll GetFileType
48  0x100e514c NONE FUNC KERNEL32.dll SetCurrentDirectoryA
49  0x100e5150 NONE FUNC KERNEL32.dll GetStartupInfoA
50  0x100e5154 NONE FUNC KERNEL32.dll SetFilePointer
51  0x100e5158 NONE FUNC KERNEL32.dll HeapSize
52  0x100e515c NONE FUNC KERNEL32.dll LCMapStringA
53  0x100e5160 NONE FUNC KERNEL32.dll LCMapStringW
54  0x100e5164 NONE FUNC KERNEL32.dll GetSystemInfo
55  0x100e5168 NONE FUNC KERNEL32.dll SetUnhandledExceptionFilter
56  0x100e516c NONE FUNC KERNEL32.dll SetProcessAffinityMask
57  0x100e5170 NONE FUNC KERNEL32.dll GetCurrentDirectoryA
58  0x100e5174 NONE FUNC KERNEL32.dll ExitThread
59  0x100e5178 NONE FUNC KERNEL32.dll VirtualFree
60  0x100e517c NONE FUNC KERNEL32.dll VirtualAlloc
61  0x100e5180 NONE FUNC KERNEL32.dll GlobalMemoryStatusEx
62  0x100e5184 NONE FUNC KERNEL32.dll VirtualProtect
63  0x100e5188 NONE FUNC KERNEL32.dll ExitProcess
64  0x100e518c NONE FUNC KERNEL32.dll lstrcmpA
65  0x100e5190 NONE FUNC KERNEL32.dll lstrcmpiA
66  0x100e5194 NONE FUNC KERNEL32.dll GetVersionExW
67  0x100e5198 NONE FUNC KERNEL32.dll IsDBCSLeadByteEx
68  0x100e519c NONE FUNC KERNEL32.dll GetLocaleInfoW
69  0x100e51a0 NONE FUNC KERNEL32.dll CompareStringA
70  0x100e51a4 NONE FUNC KERNEL32.dll GetProcessHeap
71  0x100e51a8 NONE FUNC KERNEL32.dll HeapAlloc
72  0x100e51ac NONE FUNC KERNEL32.dll HeapFree
73  0x100e51b0 NONE FUNC KERNEL32.dll GlobalAlloc
74  0x100e51b4 NONE FUNC KERNEL32.dll GlobalLock
75  0x100e51b8 NONE FUNC KERNEL32.dll GlobalUnlock
76  0x100e51bc NONE FUNC KERNEL32.dll GlobalFree
77  0x100e51c0 NONE FUNC KERNEL32.dll lstrlenW
78  0x100e51c4 NONE FUNC KERNEL32.dll GetLastError
79  0x100e51c8 NONE FUNC KERNEL32.dll GetSystemDirectoryA
80  0x100e51cc NONE FUNC KERNEL32.dll GetCommandLineA
81  0x100e51d0 NONE FUNC KERNEL32.dll GetVersionExA
82  0x100e51d4 NONE FUNC KERNEL32.dll lstrcpynA
83  0x100e51d8 NONE FUNC KERNEL32.dll GetModuleFileNameA
84  0x100e51dc NONE FUNC KERNEL32.dll LoadLibraryA
85  0x100e51e0 NONE FUNC KERNEL32.dll FreeLibrary
86  0x100e51e4 NONE FUNC KERNEL32.dll WideCharToMultiByte
87  0x100e51e8 NONE FUNC KERNEL32.dll GetFullPathNameA
88  0x100e51ec NONE FUNC KERNEL32.dll GetFileAttributesA
89  0x100e51f0 NONE FUNC KERNEL32.dll lstrcpyA
90  0x100e51f4 NONE FUNC KERNEL32.dll lstrlenA
91  0x100e51f8 NONE FUNC KERNEL32.dll OutputDebugStringA
92  0x100e51fc NONE FUNC KERNEL32.dll lstrcatA
93  0x100e5200 NONE FUNC KERNEL32.dll MultiByteToWideChar
94  0x100e5204 NONE FUNC KERNEL32.dll GetModuleHandleA
95  0x100e5208 NONE FUNC KERNEL32.dll GetProcAddress
96  0x100e520c NONE FUNC KERNEL32.dll FlushInstructionCache
97  0x100e5210 NONE FUNC KERNEL32.dll SetEvent
98  0x100e5214 NONE FUNC KERNEL32.dll SetLastError
99  0x100e5218 NONE FUNC KERNEL32.dll GetCurrentProcess
100 0x100e521c NONE FUNC KERNEL32.dll GetTimeZoneInformation
101 0x100e5220 NONE FUNC KERNEL32.dll UnhandledExceptionFilter
102 0x100e5224 NONE FUNC KERNEL32.dll SetConsoleCtrlHandler
103 0x100e5228 NONE FUNC KERNEL32.dll SetEndOfFile
104 0x100e522c NONE FUNC KERNEL32.dll CompareStringW
105 0x100e5230 NONE FUNC KERNEL32.dll SetEnvironmentVariableA
106 0x100e5234 NONE FUNC KERNEL32.dll IsBadReadPtr
107 0x100e5238 NONE FUNC KERNEL32.dll GetTickCount
108 0x100e523c NONE FUNC KERNEL32.dll CreateDirectoryA
109 0x100e5240 NONE FUNC KERNEL32.dll DeleteFileA
110 0x100e5244 NONE FUNC KERNEL32.dll FindClose
111 0x100e5248 NONE FUNC KERNEL32.dll FindNextFileA
112 0x100e524c NONE FUNC KERNEL32.dll FindFirstFileA
113 0x100e5250 NONE FUNC KERNEL32.dll MoveFileA
114 0x100e5254 NONE FUNC KERNEL32.dll Sleep
115 0x100e5258 NONE FUNC KERNEL32.dll QueryPerformanceCounter
116 0x100e525c NONE FUNC KERNEL32.dll QueryPerformanceFrequency
117 0x100e5260 NONE FUNC KERNEL32.dll CloseHandle
118 0x100e5264 NONE FUNC KERNEL32.dll InitializeCriticalSection
119 0x100e5268 NONE FUNC KERNEL32.dll DeleteCriticalSection
