name	raw_size	raw_ptr	vma	lma	file_off	align	flags
.text	000e33c4	00001000	10001000	10001000	00001000	2**2	CONTENTS, ALLOC, LOAD, READONLY, CODE
.rdata	00018f1e	000e5000	100e5000	100e5000	000e5000	2**2	CONTENTS, ALLOC, LOAD, READONLY, DATA
.data	0001b000	000fe000	100fe000	100fe000	000fe000	2**2	CONTENTS, ALLOC, LOAD, DATA
.rsrc	000006b0	00119000	10271000	10271000	00119000	2**2	CONTENTS, ALLOC, LOAD, READONLY, DATA
.reloc	0000b9ae	0011a000	10272000	10272000	0011a000	2**2	CONTENTS, ALLOC, LOAD, READONLY, DATA
